left_feature,left_mode,left_quantile,right_feature,right_mode,right_quantile,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_val_confirm_exact_pct,min_val_confirm_sign_pct
FII_ifut_volshare,up_tail,0.75,Pro_ifut_ds,up_tail,0.85,20,5.83,20,0,65.0,15,86.67,14,5.65,14,0,64.29,13,69.23,11,6.63,11,0,63.64,10,70.0,63.64,69.23
FII_scall_volshare,up_tail,0.8,FII_iput_dl,up_tail,0.9,17,4.96,17,0,82.35,15,93.33,10,4.03,10,0,70.0,10,70.0,13,7.83,13,0,61.54,10,80.0,61.54,70.0
pro_fii_agreement_optheavy_qflow_z63,up_tail,0.75,DII_sfut_ds,up_tail,0.85,16,4.66,16,0,81.25,13,100.0,13,5.24,13,0,61.54,12,66.67,10,6.02,10,0,70.0,10,70.0,61.54,66.67
pro_fii_agreement_optheavy_qflow_z63,up_tail,0.8,DII_sfut_ds,up_tail,0.85,16,4.66,16,0,81.25,13,100.0,13,5.24,13,0,61.54,12,66.67,10,6.02,10,0,70.0,10,70.0,61.54,66.67
DII_sput_qflow_z63,up_tail,0.75,Pro_scall_dvol,up_tail,0.8,17,4.96,17,0,52.94,11,81.82,18,7.26,18,0,61.11,15,73.33,11,6.63,11,0,72.73,11,72.73,61.11,72.73
DII_sput_qflow_z63,up_tail,0.7,Pro_scall_dvol,up_tail,0.8,19,5.54,19,0,52.63,12,83.33,18,7.26,18,0,61.11,15,73.33,11,6.63,11,0,72.73,11,72.73,61.11,72.73
Pro_scall_volshare,up_tail,0.8,Pro_ifut_ds,up_tail,0.85,17,4.96,17,0,76.47,16,81.25,16,6.45,16,0,62.5,14,71.43,15,9.04,15,0,60.0,13,69.23,60.0,69.23
px_rv20,up_tail,0.925,DII_sput_qflow_z63,up_tail,0.7,18,5.25,18,0,72.22,14,92.86,13,5.24,13,0,69.23,13,69.23,15,9.04,15,0,60.0,13,69.23,60.0,69.23
px_rv20,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.7,18,5.25,18,0,72.22,14,92.86,15,6.05,15,0,73.33,15,73.33,15,9.04,15,0,60.0,13,69.23,60.0,69.23
px_rv20,up_tail,0.925,DII_sput_qflow_z63,up_tail,0.75,18,5.25,18,0,72.22,14,92.86,13,5.24,13,0,69.23,13,69.23,15,9.04,15,0,60.0,13,69.23,60.0,69.23
px_rv20_sum4,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.7,20,5.83,20,0,65.0,14,92.86,14,5.65,14,0,71.43,14,71.43,15,9.04,15,0,60.0,13,69.23,60.0,69.23
px_rv20_sum4,up_tail,0.925,DII_sput_qflow_z63,up_tail,0.75,20,5.83,20,0,65.0,14,92.86,13,5.24,13,0,69.23,13,69.23,15,9.04,15,0,60.0,13,69.23,60.0,69.23
px_rv20_mean4,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.7,20,5.83,20,0,65.0,14,92.86,14,5.65,14,0,71.43,14,71.43,15,9.04,15,0,60.0,13,69.23,60.0,69.23
px_rv20_mean4,up_tail,0.925,DII_sput_qflow_z63,up_tail,0.75,20,5.83,20,0,65.0,14,92.86,13,5.24,13,0,69.23,13,69.23,15,9.04,15,0,60.0,13,69.23,60.0,69.23
px_rv5_sum21,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.7,20,5.83,20,0,65.0,14,92.86,12,4.84,12,0,66.67,12,66.67,15,9.04,15,0,60.0,13,69.23,60.0,66.67
px_rv5_mean21,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.7,20,5.83,20,0,65.0,14,92.86,12,4.84,12,0,66.67,12,66.67,15,9.04,15,0,60.0,13,69.23,60.0,66.67
FII_sput_volshare,up_tail,0.85,Pro_ifut_ds,up_tail,0.85,16,4.66,16,0,62.5,13,76.92,10,4.03,10,0,60.0,9,66.67,15,9.04,15,0,60.0,13,69.23,60.0,66.67
DII_scall_dvol,up_tail,0.9,Client_ifut_dl,up_tail,0.8,15,4.37,15,0,73.33,14,78.57,11,4.44,11,0,63.64,11,63.64,10,6.02,10,0,60.0,7,85.71,60.0,63.64
px_rv5_sum21,up_tail,0.925,DII_sput_qflow_z63,up_tail,0.75,20,5.83,20,0,65.0,14,92.86,11,4.44,11,0,63.64,11,63.64,15,9.04,15,0,60.0,13,69.23,60.0,63.64
px_rv5_mean21,up_tail,0.925,DII_sput_qflow_z63,up_tail,0.75,20,5.83,20,0,65.0,14,92.86,11,4.44,11,0,63.64,11,63.64,15,9.04,15,0,60.0,13,69.23,60.0,63.64
Pro_sput_volshare,up_tail,0.8,v3_smart_money_conflict_z21,up_tail,0.8,20,5.83,20,0,85.0,18,94.44,13,5.24,13,0,61.54,10,80.0,25,15.06,25,0,60.0,24,62.5,60.0,62.5
FII_sput_volshare,up_tail,0.8,FII_icall_ds,up_tail,0.9,15,4.37,15,0,80.0,14,85.71,13,5.24,13,0,61.54,13,61.54,15,9.04,15,0,60.0,12,75.0,60.0,61.54
Pro_scall_dvol,up_tail,0.9,px_ret2_chg4,up_tail,0.6,22,6.41,22,0,63.64,18,77.78,13,5.24,13,0,61.54,13,61.54,10,6.02,10,0,60.0,8,75.0,60.0,61.54
FII_icall_dl,up_tail,0.9,FII_scall_volshare,up_tail,0.8,15,4.37,15,0,80.0,13,92.31,10,4.03,10,0,60.0,10,60.0,10,6.02,10,0,70.0,9,77.78,60.0,60.0
FII_icall_dl,up_tail,0.85,FII_scall_volshare,up_tail,0.8,19,5.54,19,0,78.95,16,93.75,15,6.05,15,0,60.0,15,60.0,15,9.04,15,0,60.0,12,75.0,60.0,60.0
Client_scall_qflow_chg4,up_tail,0.85,FII_scall_volshare,up_tail,0.8,25,7.29,25,0,76.0,23,82.61,10,4.03,10,0,60.0,10,60.0,14,8.43,14,0,64.29,12,75.0,60.0,60.0
Client_scall_qflow,up_tail,0.9,Pro_scall_volshare,up_tail,0.8,24,7.0,24,0,75.0,21,85.71,10,4.03,10,0,60.0,10,60.0,11,6.63,11,0,72.73,10,80.0,60.0,60.0
mkt_ifut_dlogoi,up_tail,0.85,FII_ifut_volshare,up_tail,0.75,19,5.54,19,0,63.16,16,75.0,15,6.05,15,0,60.0,15,60.0,10,6.02,10,0,60.0,9,66.67,60.0,60.0
smart_plus_contra_client_optheavy_lvl_sum21,up_tail,0.9,DII_futheavy_qflow_sum21,up_tail,0.85,15,4.37,15,0,60.0,10,90.0,10,4.03,10,0,60.0,10,60.0,16,9.64,16,0,62.5,15,66.67,60.0,60.0
smart_plus_contra_client_optheavy_lvl_mean21,up_tail,0.9,DII_futheavy_qflow_sum21,up_tail,0.85,15,4.37,15,0,60.0,10,90.0,10,4.03,10,0,60.0,10,60.0,16,9.64,16,0,62.5,15,66.67,60.0,60.0
mkt_ifut_dlogoi,up_tail,0.925,mkt_ifut_dlogoi,up_tail,0.9,26,7.58,26,0,53.85,18,77.78,15,6.05,15,0,60.0,15,60.0,10,6.02,10,0,70.0,9,77.78,60.0,60.0
mkt_ifut_dlogoi,up_tail,0.925,mkt_ifut_dlogoi,up_tail,0.85,26,7.58,26,0,53.85,18,77.78,15,6.05,15,0,60.0,15,60.0,10,6.02,10,0,70.0,9,77.78,60.0,60.0
pro_fii_agreement_futheavy_lvl_chg4,up_tail,0.9,pro_fii_agreement_v3inst_lvl_chg4,up_tail,0.9,23,6.71,23,0,65.22,16,93.75,17,6.85,17,0,58.82,15,66.67,10,6.02,10,0,60.0,10,60.0,58.82,60.0
pro_fii_agreement_futheavy_lvl_chg4,up_tail,0.9,pro_fii_agreement_v3inst_lvl_chg4,up_tail,0.925,23,6.71,23,0,65.22,16,93.75,17,6.85,17,0,58.82,15,66.67,10,6.02,10,0,60.0,10,60.0,58.82,60.0
pro_fii_agreement_futheavy_lvl_chg4,up_tail,0.9,pro_fii_agreement_v3inst_lvl_chg4,up_tail,0.95,23,6.71,23,0,65.22,16,93.75,17,6.85,17,0,58.82,15,66.67,10,6.02,10,0,60.0,10,60.0,58.82,60.0
pro_fii_agreement_futheavy_lvl_chg4,up_tail,0.925,pro_fii_agreement_v3inst_lvl_chg4,up_tail,0.9,23,6.71,23,0,65.22,16,93.75,17,6.85,17,0,58.82,15,66.67,10,6.02,10,0,60.0,10,60.0,58.82,60.0
pro_fii_agreement_futheavy_lvl_chg4,up_tail,0.925,pro_fii_agreement_v3inst_lvl_chg4,up_tail,0.925,23,6.71,23,0,65.22,16,93.75,17,6.85,17,0,58.82,15,66.67,10,6.02,10,0,60.0,10,60.0,58.82,60.0
pro_fii_agreement_futheavy_lvl_chg4,up_tail,0.925,pro_fii_agreement_v3inst_lvl_chg4,up_tail,0.95,23,6.71,23,0,65.22,16,93.75,17,6.85,17,0,58.82,15,66.67,10,6.02,10,0,60.0,10,60.0,58.82,60.0
FII_sput_volshare,up_tail,0.85,FII_iput_dl,up_tail,0.9,16,4.66,16,0,81.25,14,92.86,10,4.03,10,0,70.0,10,70.0,12,7.23,12,0,58.33,9,77.78,58.33,70.0
FII_sput_volshare,up_tail,0.8,Pro_ifut_ds,up_tail,0.9,15,4.37,15,0,66.67,13,76.92,10,4.03,10,0,60.0,8,75.0,12,7.23,12,0,58.33,10,70.0,58.33,70.0
FII_sput_volshare,up_tail,0.8,Pro_ifut_ds,up_tail,0.85,19,5.54,19,0,68.42,16,81.25,12,4.84,12,0,58.33,10,70.0,15,9.04,15,0,60.0,13,69.23,58.33,69.23
DII_optheavy_lvl_chg21,up_tail,0.85,Client_icall_dl,up_tail,0.7,27,7.87,27,0,74.07,24,83.33,12,4.84,12,0,58.33,11,63.64,11,6.63,11,0,72.73,10,80.0,58.33,63.64
DII_optheavy_lvl_chg21,up_tail,0.85,mkt_icall_dlogoi,up_tail,0.6,32,9.33,32,0,71.88,28,82.14,12,4.84,12,0,58.33,11,63.64,12,7.23,12,0,66.67,10,80.0,58.33,63.64
DII_optheavy_lvl_chg21,up_tail,0.85,Client_icall_ds,up_tail,0.8,20,5.83,20,0,70.0,17,82.35,12,4.84,12,0,58.33,11,63.64,10,6.02,10,0,70.0,9,77.78,58.33,63.64
DII_optheavy_lvl_chg21,up_tail,0.85,Pro_icall_ds,up_tail,0.8,20,5.83,20,0,70.0,17,82.35,12,4.84,12,0,58.33,11,63.64,12,7.23,12,0,66.67,10,80.0,58.33,63.64
DII_optheavy_lvl_chg21,up_tail,0.85,Pro_icall_ds,up_tail,0.7,26,7.58,26,0,69.23,22,81.82,12,4.84,12,0,58.33,11,63.64,12,7.23,12,0,66.67,10,80.0,58.33,63.64
DII_optheavy_lvl_chg21,up_tail,0.85,mkt_icall_dlogoi,up_tail,0.8,19,5.54,19,0,68.42,16,81.25,12,4.84,12,0,58.33,11,63.64,10,6.02,10,0,70.0,9,77.78,58.33,63.64
DII_optheavy_lvl_chg21,up_tail,0.85,Pro_icall_ds,up_tail,0.75,24,7.0,24,0,66.67,20,80.0,12,4.84,12,0,58.33,11,63.64,12,7.23,12,0,66.67,10,80.0,58.33,63.64
FII_sput_volshare,up_tail,0.85,FII_icall_dl,up_tail,0.85,16,4.66,16,0,81.25,14,92.86,15,6.05,15,0,60.0,15,60.0,12,7.23,12,0,58.33,10,70.0,58.33,60.0
DII_scall_rflow_chg15,up_tail,0.925,Pro_scall_volshare,up_tail,0.8,20,5.83,20,0,75.0,18,83.33,10,4.03,10,0,60.0,10,60.0,12,7.23,12,0,58.33,11,63.64,58.33,60.0
FII_icall_dl,up_tail,0.9,FII_sput_volshare,up_tail,0.8,17,4.96,17,0,76.47,15,86.67,12,4.84,12,0,58.33,12,58.33,11,6.63,11,0,63.64,9,77.78,58.33,58.33
Client_scall_dvol,up_tail,0.9,Client_ifut_dl,up_tail,0.8,16,4.66,16,0,56.25,12,75.0,12,4.84,12,0,58.33,12,58.33,12,7.23,12,0,58.33,10,70.0,58.33,58.33
DII_sput_rflow_z63,up_tail,0.75,Pro_scall_dvol,up_tail,0.8,18,5.25,18,0,55.56,12,83.33,19,7.66,19,0,57.89,16,68.75,11,6.63,11,0,72.73,11,72.73,57.89,68.75
px_rv20,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.75,15,4.37,15,0,73.33,12,91.67,13,5.24,13,0,69.23,13,69.23,14,8.43,14,0,57.14,12,66.67,57.14,66.67
px_rv20_sum4,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.75,15,4.37,15,0,73.33,12,91.67,13,5.24,13,0,69.23,13,69.23,14,8.43,14,0,57.14,12,66.67,57.14,66.67
px_rv20_mean4,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.75,15,4.37,15,0,73.33,12,91.67,13,5.24,13,0,69.23,13,69.23,14,8.43,14,0,57.14,12,66.67,57.14,66.67
v3_smart_money_conflict_z21,up_tail,0.8,Pro_sput_volshare,up_tail,0.75,21,6.12,21,0,85.71,19,94.74,14,5.65,14,0,57.14,11,72.73,27,16.27,27,0,59.26,25,64.0,57.14,64.0
FII_sput_volshare,up_tail,0.85,v3_smart_money_conflict_z21,up_tail,0.8,15,4.37,15,0,80.0,13,92.31,14,5.65,14,0,57.14,11,72.73,23,13.86,23,0,60.87,22,63.64,57.14,63.64
px_rv5_sum21,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.75,15,4.37,15,0,73.33,12,91.67,11,4.44,11,0,63.64,11,63.64,14,8.43,14,0,57.14,12,66.67,57.14,63.64
px_rv5_mean21,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.75,15,4.37,15,0,73.33,12,91.67,11,4.44,11,0,63.64,11,63.64,14,8.43,14,0,57.14,12,66.67,57.14,63.64
px_rv5_sum21,up_tail,0.9,DII_sput_rflow_z63,up_tail,0.75,15,4.37,15,0,73.33,12,91.67,11,4.44,11,0,63.64,11,63.64,14,8.43,14,0,57.14,12,66.67,57.14,63.64
DII_optheavy_lvl_chg21,up_tail,0.85,px_ret2_chg4,up_tail,0.6,18,5.25,18,0,72.22,14,92.86,18,7.26,18,0,72.22,17,76.47,14,8.43,14,0,57.14,13,61.54,57.14,61.54
FII_icall_ds,up_tail,0.9,FII_iput_dl,up_tail,0.925,20,5.83,20,0,65.0,18,72.22,14,5.65,14,0,57.14,13,61.54,11,6.63,11,0,63.64,9,77.78,57.14,61.54
mkt_ifut_dlogoi,up_tail,0.925,FII_ifut_volshare,up_tail,0.7,15,4.37,15,0,66.67,12,83.33,14,5.65,14,0,57.14,14,57.14,10,6.02,10,0,70.0,9,77.78,57.14,57.14
DII_scall_dvol,up_tail,0.9,Pro_sfut_dl,up_tail,0.85,18,5.25,18,0,66.67,15,80.0,14,5.65,14,0,57.14,14,57.14,13,7.83,13,0,61.54,10,80.0,57.14,57.14
px_rv20_sum4,up_tail,0.925,DII_sput_qflow_z63,up_tail,0.7,20,5.83,20,0,65.0,14,92.86,13,5.24,13,0,69.23,13,69.23,16,9.64,16,0,56.25,14,64.29,56.25,64.29
px_rv20_mean4,up_tail,0.925,DII_sput_qflow_z63,up_tail,0.7,20,5.83,20,0,65.0,14,92.86,13,5.24,13,0,69.23,13,69.23,16,9.64,16,0,56.25,14,64.29,56.25,64.29
px_rv5_sum21,up_tail,0.9,DII_sput_rflow_z63,up_tail,0.7,20,5.83,20,0,65.0,14,92.86,12,4.84,12,0,66.67,12,66.67,16,9.64,16,0,56.25,14,64.29,56.25,64.29
px_rv5_sum21,up_tail,0.925,DII_sput_qflow_z63,up_tail,0.7,20,5.83,20,0,65.0,14,92.86,11,4.44,11,0,63.64,11,63.64,16,9.64,16,0,56.25,14,64.29,56.25,63.64
px_rv5_mean21,up_tail,0.925,DII_sput_qflow_z63,up_tail,0.7,20,5.83,20,0,65.0,14,92.86,11,4.44,11,0,63.64,11,63.64,16,9.64,16,0,56.25,14,64.29,56.25,63.64
px_rv5_sum21,up_tail,0.9,DII_sput_qflow_z63,up_tail,0.75,20,5.83,20,0,65.0,14,92.86,11,4.44,11,0,63.64,11,63.64,16,9.64,16,0,56.25,14,64.29,56.25,63.64
FII_icall_ds,up_tail,0.85,FII_iput_dl,up_tail,0.925,23,6.71,23,0,60.87,19,73.68,16,6.45,16,0,56.25,15,60.0,12,7.23,12,0,58.33,10,70.0,56.25,60.0
FII_icall_ds,up_tail,0.8,FII_iput_dl,up_tail,0.925,24,7.0,24,0,58.33,20,70.0,16,6.45,16,0,56.25,15,60.0,12,7.23,12,0,58.33,10,70.0,56.25,60.0
DII_scall_ds,up_tail,0.9,Pro_sfut_dl,up_tail,0.85,19,5.54,19,0,68.42,15,86.67,16,6.45,16,0,56.25,16,56.25,14,8.43,14,0,57.14,11,72.73,56.25,56.25
Pro_scall_dvol,up_tail,0.8,DII_sfut_ds,up_tail,0.85,17,4.96,17,0,64.71,12,91.67,16,6.45,16,0,56.25,16,56.25,14,8.43,14,0,57.14,12,66.67,56.25,56.25
Pro_scall_ds,up_tail,0.8,Pro_icall_ds,up_tail,0.8,22,6.41,22,0,63.64,17,82.35,16,6.45,16,0,56.25,16,56.25,11,6.63,11,0,81.82,10,90.0,56.25,56.25
Client_scall_ds,up_tail,0.75,DII_sfut_ds,up_tail,0.85,19,5.54,19,0,63.16,14,85.71,16,6.45,16,0,56.25,16,56.25,14,8.43,14,0,57.14,13,61.54,56.25,56.25
mkt_ifut_dlogoi,up_tail,0.9,mkt_ifut_dlogoi,up_tail,0.85,35,10.2,35,0,51.43,25,72.0,16,6.45,16,0,56.25,16,56.25,11,6.63,11,0,72.73,10,80.0,56.25,56.25
DII_optheavy_lvl_chg21,up_tail,0.85,DII_icall_qflow_sum21,up_tail,0.9,16,4.66,16,0,75.0,13,92.31,33,13.31,33,0,57.58,30,63.33,27,16.27,27,0,55.56,24,62.5,55.56,62.5
DII_optheavy_lvl_chg21,up_tail,0.85,DII_sput_rflow_z63,up_tail,0.7,21,6.12,21,0,61.9,15,86.67,27,10.89,27,0,55.56,24,62.5,21,12.65,21,0,66.67,20,70.0,55.56,62.5
DII_optheavy_lvl_chg21,up_tail,0.85,DII_icall_qflow_sum21,up_tail,0.8,21,6.12,21,0,71.43,17,88.24,34,13.71,34,0,55.88,31,61.29,27,16.27,27,0,55.56,24,62.5,55.56,61.29
DII_optheavy_lvl_chg21,up_tail,0.85,DII_icall_qflow_mean21,up_tail,0.8,21,6.12,21,0,71.43,17,88.24,34,13.71,34,0,55.88,31,61.29,27,16.27,27,0,55.56,24,62.5,55.56,61.29
FII_sput_volshare,up_tail,0.8,FII_icall_dl,up_tail,0.85,20,5.83,20,0,80.0,18,88.89,18,7.26,18,0,55.56,17,58.82,16,9.64,16,0,56.25,13,69.23,55.56,58.82
DII_scall_ds,up_tail,0.85,Pro_sfut_dl,up_tail,0.85,26,7.58,26,0,65.38,21,80.95,16,6.45,16,0,56.25,16,56.25,18,10.84,18,0,55.56,14,71.43,55.56,56.25
Client_scall_qflow,up_tail,0.9,Pro_scall_ds,up_tail,0.8,33,9.62,33,0,66.67,27,81.48,18,7.26,18,0,55.56,18,55.56,12,7.23,12,0,66.67,11,72.73,55.56,55.56
Client_scall_qflow,up_tail,0.9,Pro_scall_ds,up_tail,0.85,32,9.33,32,0,65.62,26,80.77,18,7.26,18,0,55.56,18,55.56,12,7.23,12,0,66.67,11,72.73,55.56,55.56
Client_scall_qflow,up_tail,0.9,Client_scall_dl,up_tail,0.8,32,9.33,32,0,65.62,26,80.77,18,7.26,18,0,55.56,18,55.56,12,7.23,12,0,66.67,11,72.73,55.56,55.56
mkt_ifut_dlogoi,up_tail,0.85,FII_ifut_volshare,up_tail,0.7,23,6.71,23,0,60.87,19,73.68,18,7.26,18,0,55.56,18,55.56,11,6.63,11,0,63.64,10,70.0,55.56,55.56
pro_fii_agreement_futheavy_rflow_chg4,up_tail,0.8,pro_fii_agreement_optheavy_rflow_chg15,up_tail,0.8,31,9.04,31,0,54.84,22,77.27,20,8.06,20,0,55.0,18,61.11,14,8.43,14,0,57.14,13,61.54,55.0,61.11
Client_scall_qflow,up_tail,0.9,Client_scall_dvol,up_tail,0.85,34,9.91,34,0,64.71,27,81.48,20,8.06,20,0,55.0,19,57.89,12,7.23,12,0,66.67,11,72.73,55.0,57.89
Client_scall_qflow,up_tail,0.9,Client_scall_dvol,up_tail,0.8,35,10.2,35,0,62.86,27,81.48,20,8.06,20,0,55.0,19,57.89,12,7.23,12,0,66.67,11,72.73,55.0,57.89
Client_scall_qflow,up_tail,0.9,Pro_scall_dvol,up_tail,0.8,35,10.2,35,0,62.86,27,81.48,20,8.06,20,0,55.0,19,57.89,12,7.23,12,0,66.67,11,72.73,55.0,57.89
DII_sfut_rflow_sum21,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.7,18,5.25,18,0,72.22,14,92.86,20,8.06,20,0,60.0,19,63.16,42,25.3,42,0,54.76,35,65.71,54.76,63.16
DII_sfut_rflow_mean21,up_tail,0.925,DII_sput_rflow_z63,up_tail,0.7,18,5.25,18,0,72.22,14,92.86,20,8.06,20,0,60.0,19,63.16,42,25.3,42,0,54.76,35,65.71,54.76,63.16
DII_sput_qflow_z63,up_tail,0.75,DII_sput_dl,up_tail,0.925,18,5.25,18,0,66.67,15,80.0,10,4.03,10,0,60.0,9,66.67,22,13.25,22,0,54.55,15,80.0,54.55,66.67
pro_fii_spread_v2inst_rflow_z21,up_tail,0.85,pro_fii_agreement_optheavy_rflow_chg15,up_tail,0.8,19,5.54,19,0,63.16,15,80.0,11,4.44,11,0,54.55,8,75.0,10,6.02,10,0,60.0,9,66.67,54.55,66.67
DII_scall_dvol,up_tail,0.85,Client_ifut_dl,up_tail,0.8,17,4.96,17,0,70.59,16,75.0,13,5.24,13,0,61.54,13,61.54,11,6.63,11,0,54.55,8,75.0,54.55,61.54
DII_v3inst_qflow_sum21,up_tail,0.85,Client_icall_dl,up_tail,0.7,17,4.96,17,0,70.59,14,85.71,11,4.44,11,0,54.55,10,60.0,12,7.23,12,0,75.0,10,90.0,54.55,60.0
DII_futheavy_qflow_sum21,up_tail,0.85,Pro_icall_ds,up_tail,0.7,16,4.66,16,0,68.75,13,84.62,11,4.44,11,0,54.55,10,60.0,15,9.04,15,0,66.67,12,83.33,54.55,60.0
DII_optheavy_lvl_chg21,up_tail,0.85,Client_icall_dl,up_tail,0.8,18,5.25,18,0,66.67,15,80.0,11,4.44,11,0,54.55,10,60.0,10,6.02,10,0,70.0,9,77.78,54.55,60.0
DII_sput_qflow_z63,up_tail,0.7,DII_sput_dl,up_tail,0.925,18,5.25,18,0,66.67,15,80.0,11,4.44,11,0,54.55,10,60.0,22,13.25,22,0,54.55,15,80.0,54.55,60.0
DII_sput_rflow_z63,up_tail,0.7,DII_sput_dl,up_tail,0.925,18,5.25,18,0,66.67,15,80.0,11,4.44,11,0,54.55,10,60.0,22,13.25,22,0,54.55,15,80.0,54.55,60.0
DII_sput_rflow_z63,up_tail,0.75,DII_sput_dl,up_tail,0.925,18,5.25,18,0,66.67,15,80.0,11,4.44,11,0,54.55,10,60.0,22,13.25,22,0,54.55,15,80.0,54.55,60.0
DII_futheavy_qflow_sum21,up_tail,0.85,mkt_icall_dlogoi,up_tail,0.6,20,5.83,20,0,65.0,16,81.25,11,4.44,11,0,54.55,10,60.0,13,7.83,13,0,69.23,10,90.0,54.55,60.0
DII_optheavy_lvl_chg21,up_tail,0.85,mkt_icall_dlogoi,up_tail,0.85,16,4.66,16,0,62.5,13,76.92,11,4.44,11,0,54.55,10,60.0,10,6.02,10,0,70.0,9,77.78,54.55,60.0
pro_fii_agreement_optheavy_qflow_z63,up_tail,0.75,Client_icall_ds,up_tail,0.8,25,7.29,25,0,60.0,19,78.95,18,7.26,18,0,55.56,15,66.67,11,6.63,11,0,54.55,10,60.0,54.55,60.0
pro_fii_agreement_optheavy_qflow_z63,up_tail,0.8,Client_icall_ds,up_tail,0.8,25,7.29,25,0,60.0,19,78.95,18,7.26,18,0,55.56,15,66.67,11,6.63,11,0,54.55,10,60.0,54.55,60.0
Pro_ifut_ds,up_tail,0.925,Pro_ifut_ds,up_tail,0.9,26,7.58,26,0,57.69,20,75.0,21,8.47,21,0,57.14,20,60.0,11,6.63,11,0,54.55,9,66.67,54.55,60.0
Pro_ifut_ds,up_tail,0.925,Pro_ifut_ds,up_tail,0.85,26,7.58,26,0,57.69,20,75.0,21,8.47,21,0,57.14,20,60.0,11,6.63,11,0,54.55,9,66.67,54.55,60.0
pro_fii_agreement_optheavy_qflow_z63,up_tail,0.85,Client_icall_ds,up_tail,0.8,16,4.66,16,0,56.25,11,81.82,18,7.26,18,0,55.56,15,66.67,11,6.63,11,0,54.55,10,60.0,54.55,60.0
px_ret2_chg4,up_tail,0.6,FII_icall_ds,up_tail,0.9,17,4.96,17,0,52.94,11,81.82,11,4.44,11,0,54.55,10,60.0,10,6.02,10,0,60.0,9,66.67,54.55,60.0
pro_fii_agreement_optheavy_rflow_chg15,up_tail,0.8,v3_smart_money_conflict_z21,up_tail,0.8,38,11.08,38,0,55.26,30,70.0,22,8.87,22,0,54.55,18,66.67,18,10.84,18,0,55.56,17,58.82,54.55,58.82
DII_scall_qflow_chg15,up_tail,0.925,Pro_scall_volshare,up_tail,0.8,19,5.54,19,0,73.68,17,82.35,11,4.44,11,0,54.55,11,54.55,12,7.23,12,0,58.33,11,63.64,54.55,54.55
Pro_sfut_dl,up_tail,0.9,DII_scall_dvol,up_tail,0.9,17,4.96,17,0,70.59,14,85.71,11,4.44,11,0,54.55,11,54.55,13,7.83,13,0,61.54,10,80.0,54.55,54.55
Client_scall_qflow_chg4,up_tail,0.85,Pro_scall_dvol,up_tail,0.8,36,10.5,36,0,63.89,28,82.14,22,8.87,22,0,54.55,22,54.55,13,7.83,13,0,69.23,11,81.82,54.55,54.55
Pro_optheavy_qflow_posdays21,up_tail,0.85,Pro_scall_dvol,up_tail,0.8,16,4.66,16,0,62.5,12,83.33,12,4.84,12,0,58.33,10,70.0,11,6.63,11,0,54.55,11,54.55,54.55,54.55
DII_sfut_ds,up_tail,0.85,FII_iput_dl,up_tail,0.925,16,4.66,16,0,62.5,14,71.43,11,4.44,11,0,54.55,11,54.55,10,6.02,10,0,70.0,8,87.5,54.55,54.55
px_ret10_chg4,up_tail,0.85,px_ret1_sum4,up_tail,0.925,15,4.37,15,0,60.0,11,81.82,11,4.44,11,0,54.55,11,54.55,10,6.02,10,0,70.0,10,70.0,54.55,54.55
px_ret10_chg4,up_tail,0.85,px_ret1_mean4,up_tail,0.925,15,4.37,15,0,60.0,11,81.82,11,4.44,11,0,54.55,11,54.55,10,6.02,10,0,70.0,10,70.0,54.55,54.55
DII_sput_rflow_z63,up_tail,0.7,Pro_scall_dvol,up_tail,0.8,19,5.54,19,0,52.63,12,83.33,24,9.68,24,0,54.17,21,61.9,11,6.63,11,0,72.73,11,72.73,54.17,61.9
DII_ifut_lvl_posdays7,up_tail,0.85,DII_futheavy_qflow_sum21,up_tail,0.85,30,8.75,30,0,56.67,22,77.27,50,20.16,50,0,54.0,45,60.0,47,28.31,47,0,57.45,42,64.29,54.0,60.0
Client_scall_dl,up_tail,0.8,Client_ifut_dl,up_tail,0.8,28,8.16,28,0,53.57,20,75.0,17,6.85,17,0,64.71,17,64.71,13,7.83,13,0,53.85,10,70.0,53.85,64.71
Client_scall_dl,up_tail,0.85,px_ret2_chg4,up_tail,0.6,30,8.75,30,0,56.67,24,70.83,11,4.44,11,0,63.64,11,63.64,13,7.83,13,0,53.85,10,70.0,53.85,63.64
